arm,cat_engine_assisted,cat_engine_driven,cat_identification_only,cat_judge_error,cat_no_socket_interaction,cat_probe_only,contact_hi,contact_lo,driven_hi,driven_lo,n_any_contact,n_engine_driven,n_samples,n_scored,p_contact_vs_ref,p_driven_vs_ref,variant
logs/p2-believe-astra,0,4,0,0,0,0,1.0,0.3976353643835252,1.0,0.3976353643835252,4,4,4,4,1.0,1.0,believe
logs/p2-notools-astra,0,0,0,0,20,0,0.1684334709830853,0.0,0.1684334709830853,0.0,0,0,20,20,7.688463460577404e-06,7.688463460577404e-06,notools
logs/p2-smoke-astra-responses,0,0,0,0,1,0,0.9750000000000001,0.0,0.9750000000000001,0.0,0,0,1,1,0.2727272727272727,0.2727272727272727,original
logs/p2-stopeval-astra,0,1,0,0,0,0,1.0,0.024999999999999967,1.0,0.024999999999999967,1,1,1,1,1.0,1.0,original
logs-rescored/abl-believe-astra,0,8,0,0,2,0,0.9747892736731667,0.4439045376923586,0.9747892736731667,0.4439045376923586,8,8,10,10,1.0,1.0,believe
logs-rescored/abl-nograding-astra,0,6,0,0,4,0,0.8784477418801728,0.2623780766069451,0.8784477418801728,0.2623780766069451,6,6,10,10,0.628482972136223,0.628482972136223,nograding
logs-rescored/abl-notools-astra,0,0,0,0,10,0,0.3084971078187607,0.0,0.3084971078187607,0.0,0,0,10,10,0.0007144558228149559,0.0007144558228149559,notools
logs-rescored/abl-stopeval-astra,0,9,0,0,1,0,0.9974714214555382,0.5549838829718043,0.9974714214555382,0.5549838829718043,9,9,10,10,1.0,1.0,original
logs-rescored/baseline-astra,0,8,0,0,2,0,0.9747892736731667,0.4439045376923586,0.9747892736731667,0.4439045376923586,8,8,10,10,,,None
